Designação;Alt. Total;Alt. Fora Solo;Bet./Met.;Fz;Fxa;Fya;Fxb;Fyb;Peso;V.Esc;B.Normal;B.Moldado;B.Ciclopico;
MM06-2750/960-20;20,0;17,5;B;4000;1300;2750;1928;911;6390;12,10;0,00;0,00;10,89;
MM06-2750/960-22;22,0;19,5;B;4000;1300;2750;1806;854;7510;12,10;0,00;0,00;10,89;
MM06-2750/960-24;24,0;21,5;B;4000;1300;2750;1678;793;8700;12,10;0,00;0,00;10,89;
MM06-2750/960-26;26,0;23,5;B;4000;1300;2750;1543;729;9990;14,40;0,00;0,00;12,96;
MM06-2750/960-28;28,0;25,5;B;4000;1300;2750;1402;663;11430;14,40;0,00;0,00;12,96;
MM08-3500/1260-14;14,0;11,5;B;4000;1600;3500;2922;1336;4170;13,23;0,00;0,00;11,90;
MM08-3500/1260-16;16,0;13,5;B;4000;1600;3500;2804;1282;5120;13,23;0,00;0,00;11,90;
MM08-3500/1260-18;18,0;15,5;B;4000;1600;3500;2680;1225;6170;13,23;0,00;0,00;11,90;
MM08-3500/1260-20;20,0;17,5;B;4000;1600;3500;2549;1165;7300;18,23;0,00;0,00;16,40;
MM08-3500/1260-22;22,0;19,5;B;4000;1600;3500;2411;1102;8500;18,23;0,00;0,00;16,40;
MM08-3500/1260-24;24,0;21,5;B;4000;1600;3500;2267;1036;9800;18,23;0,00;0,00;16,40;
MM08-3500/1260-26;26,0;23,5;B;4000;1600;3500;2116;968;11240;22,50;0,00;0,00;20,25;
MM08-3500/1260-28;28,0;25,5;B;4000;1600;3500;1959;896;12780;22,50;0,00;0,00;20,25;
MP00-400/220-14;14,0;12,1;B;2000;220;400;198;109;1700;1,40;0,00;0,00;1,30;
MP00-400/220-16;16,0;13,9;B;2000;220;400;147;81;2200;1,70;0,00;0,00;1,60;
MP00-400/220-18;18,0;15,7;B;2000;220;400;91;50;2760;2,10;0,00;0,00;1,90;
MP00-600/260-14;14,0;;B;2000;320;600;388;207;1730;;;;;
MP00-600/260-16;16,0;13,9;B;2000;320;600;334;178;2240;1,70;0,00;0,00;1,60;
MP00-600/260-18;18,0;15,7;B;2000;320;600;276;147;2800;;;;;
MP00-600/260-20;20,0;17,5;B;2000;320;600;212;113;3440;;;;;
MP00-600/260-22;22,0;19,5;B;2000;320;600;142;76;4160;2,70;0,00;0,00;2,40;
MP01-800/320-14;14,0;12,1;B;2000;420;800;558;293;1920;3,00;0,00;0,00;2,80;
MP01-800/320-16;16,0;13,9;B;2000;420;800;499;262;2460;2,20;0,00;0,00;2,10;
MP01-800/320-18;18,0;15,7;B;2000;420;800;435;228;3060;2,20;0,00;0,00;2,00;
MP01-800/320-20;20,0;17,5;B;2000;420;800;365;192;3740;2,60;0,00;0,00;2,40;
MP01-800/320-22;22,0;19,5;B;2000;420;800;290;152;4520;2,90;0,00;0,00;2,50;
MP02-1000/370-14;14,0;;B;2000;520;1000;729;379;2110;;;;;
MP02-1000/370-16;16,0;13,9;B;2000;520;1000;665;346;2680;2,90;0,00;0,00;2,70;
MP02-1000/370-18;18,0;15,7;B;2000;520;1000;596;310;3330;2,60;0,00;0,00;2,40;
MP02-1000/370-20;20,0;17,5;B;2000;520;1000;522;271;4060;2,80;0,00;0,00;2,50;
MP02-1000/370-22;22,0;19,5;B;2000;520;1000;441;230;4880;3,00;0,00;0,00;2,70;
MP02-1000/370-24;24,0;;B;2000;520;1000;356;185;5780;;;;;
MP02-1000/370-26;26,0;;B;2000;520;1000;265;138;6760;;;;;
MP02-1200/410-14;14,0;12,1;B;2000;560;1200;882;412;2130;3,80;0,00;0,00;3,70;
MP02-1200/410-16;16,0;13,9;B;2000;560;1200;808;377;2710;3,80;0,00;0,00;3,70;
